release_date,event_type,source,source_url,timezone,release_time
2020-01-17,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-01-24,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-01-31,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-02-07,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-02-14,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-02-21,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-02-28,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-03-06,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-03-13,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-03-20,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-03-27,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-04-03,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-04-10,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-04-17,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-04-24,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-05-01,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-05-08,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-05-15,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-05-22,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-05-29,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-06-05,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-06-12,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-06-19,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-06-26,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-07-03,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-07-10,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-07-17,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-07-24,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-07-31,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-08-07,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-08-14,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-08-21,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-08-28,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-09-04,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-09-11,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-09-18,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-09-25,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-10-02,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-10-09,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-10-16,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-10-23,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-10-30,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-11-06,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-11-13,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-11-20,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-11-27,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-12-04,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-12-11,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-12-18,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2020-12-25,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-01-01,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-01-08,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-01-15,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-01-22,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-01-29,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-02-05,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-02-12,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-02-19,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-02-26,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-03-05,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-03-12,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-03-19,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-03-26,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-04-02,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-04-09,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-04-16,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-04-23,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-04-30,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-05-07,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-05-14,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-05-21,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
2021-05-28,BAKER_HUGHES_RIG,BakerHughes,https://rigcount.bakerhughes.com/,America/New_York,13:00:00
